DAP_NAME;ST_PREDELTA;EN_PREDELTA;ST_DELTA;EN_DELTA;ST_OMNI;EN_OMNI
ALL;20000101;20210704;20210705;20220103;20220103;20230101
CPRD;20000101;20210524;20210525;20220103;20220103;20230101
